﻿spot,rating,location,website,phone,notice,price,introduction,time,policy,service,grade,number,traffic,sid
兵马俑二号坑,,临蓝路秦始皇兵马俑博物馆,,,,,,具体开放时间请咨询景区,乘坐临潼602路到下和村西招呼站下,,4.7,108条点评,,123
老母殿,,西安市临潼区华清路（昭阳门）骊山森林公园西绣岭第二峰之巅,,,,,老母殿是骊山上的标志之一，位于骊山西绣岭第二峰之巅，为纪念中华民族的创始人女娲氏而修建。据殿内现存之《创修山路碑》记载，老母殿始建于秦。相传女娲“攥黄土做人”，创造了人类，后来又在骊山炼石补天，因此被尊称为“骊山老母”。,全年 08:30-17:30,乘坐地铁9号线到华清池站下,,4.2,43条点评,,124
草堂寺,,西安市鄠邑区草堂村圭峰山北麓,www.caotangtemple.com,029-84953437,,,草堂寺始建于后秦弘始三年（公元401年），是高僧鸠摩罗什（中国佛教四大翻译家之一）当年翻译佛经的地方。,全年 7:30-18:00,乘坐332路到西安建筑科技大学草堂校区站下,"1.鸠摩罗什（343－413年）是位有传奇色彩的高僧。其父亲印度人，母亲龟兹人，他7岁随母出家，幼年即可诵读多部经书，有“神童”之誉。游历过许多国家，通晓经藏、律藏、论藏，被尊为“三藏法师”。他既通梵语，又娴汉文，佛学造诣深，是中国佛教史上与真谛、玄奘、义净并称的四大译师之一。在翻译方式上，鸠摩罗什改直译为意译，使佛句通畅易懂，便于流传。他所译的佛教典籍，为中国佛教的发展作出了巨大贡献。鸠摩罗什圆寂后火化，据说薪灭形碎，唯舌不烬。
2.10、11月天气转寒，气温下降，但天气状况较好，更易在早晨欣赏到“潼关八景”之一的“草堂烟雾”。",4.3,84条点评,,125
西安天坛遗址,,西安市雁塔区天坛路南，陕西师范大学雁塔校区南侧,,,,,说起天坛，很多人想起的是北京的天坛，然而在西安，有着比北京天坛更古老、更有历史价值的天坛，这便是位于天坛路的“唐天坛遗址”。这个天坛初建于隋而废弃于唐末，比北京天坛早一千多年，是全国保留下来的唯一一处早于清代的圜丘遗址。,乘坐地铁2号线到会展中心站下,,,,,,126
西五台云居寺,,西安市莲湖区洒金桥162号，古都大酒店背后,,,,,西五台云居寺位于西安市莲湖区洒金桥十字路口往南，近古都大剧院，从回民街出来步行不远即可到达。这里为唐长安城内太极宫宫城南墙所在地，由于历代城墙不断倾圮，形成从东至西延绵起伏的五个高台，宋朝时在此修建寺庙，根据其地形，称此寺为西五台。,乘坐12路到洒金桥站下,,,4.3,43条点评,,127
罔极寺,,西安市东关炮坊街内,,,,,罔极寺位于西安市东关炮坊街内，创始于唐神龙元年（公元705年），有1300多年的历史，是镇国太平公主为母后武则天祈福而修建的皇家寺院。寺名取自《诗经》“欲报以德，昊天罔极”之句，以表达子女对父母无限的孝思。盛唐时居于大明宫与兴庆宫之间，在唐皇城内供皇室宫廷朝礼之用。,全年 8:00-18:00,乘坐8路到鸡市拐站下,,4.4,46条点评,,128
大唐华清城,,西安市临潼区华清路，华清池门前,,,,,大唐华清城位于临潼区华清池门前，集旅游接待、商业购物、特色餐饮、娱乐休闲为一体。景区建有四大主题文化广场，分别为长恨歌、霓裳羽衣、春寒赐浴、温泉铭。,全年 全天开放,乘坐地铁9号线到华清池站下,大唐华清城就在华清池景区门前，到华清池游玩，等待观看《长恨歌》期间可以来此消磨时间。,4.4,61条点评,,129
秦始皇陵文物陈列厅,,王俭路秦始皇兵马俑博物馆,,,,,秦始皇兵马俑博物馆里有一座秦始皇帝陵文物陈列厅，在陈列厅里展出的大量出土文物当中，重量级的国宝当属造型逼真、制作精巧，被誉为世界“青铜之冠”的两乘大型彩绘铜车马。,具体开放时间请咨询景区,乘坐临潼602路到秦兵马俑站下,,4.7,175条点评,,130
长安塔,,西安市灞桥区世博大道西安世博园内,,,,,长安塔位于2011西安世界园艺博览会园区制高点小终南山上，是2011西安世园会的标志，也是园区的观景塔，游人可登塔俯瞰，全园美景尽收眼底。该塔由建筑大师张锦秋院士设计，在设计上保持了隋唐时期方形古塔的神韵，同时增加了现代元素，既体现了中国建筑文化的内涵，又彰显出时尚现代的都市风貌，是生态建筑的实践和示范，建成后的目标是成为提升西安城市建筑文化内涵的标志性建筑。,全年 9:30-17:00,乘坐地铁3号线到香湖湾站下,,4.1,38条点评,,131
华夏文旅海洋公园,,西安市浐灞生态区华文路1518号,,,,180,"西安华夏文旅海洋公园，是一座将世界各地独有的海洋文化和当地民俗相融合，生动展现全球各地海洋文化的大型综合性海洋场馆。把地域民俗融入海洋文化为华夏文旅集团首创，整个场馆风格以海上丝路为主线，整合了地球上珍稀的海洋生物和动物，集游乐观赏、科研教育、世界渔村文化及海洋文化传播于一体。海洋公园拥有五大主题区：惊奇极地、梦幻海洋、海兽秀场、飞越丝路探秘及欢乐海岸。包含了15个各具特色的文化主题区，一幕幕美轮美奂的文化主题场景，让人身临其境，穿越世界各地，体验多样海洋文化，重回海上丝绸之路。
海洋公园以海上丝路为主线，首创“文化民俗+海洋观赏”创意理念，融合世界各地渔村及海洋文化，提供海洋珍奇动物生物观赏、科普、表演、游乐等多种体验；目前，华夏文旅西安度假区仅开放西安华夏文旅海洋公园惊奇极地、梦幻海洋两个展区，其他区域后续将陆续开放，敬请期待，对您的游览造成不便，敬请谅解！
梦幻海洋馆汇集了多种海洋动物，打造了黄河文化区、胶东渔村区、泉州古渔村区、海口疍族渔村区、印尼爪哇岛渔村区、俄罗斯布里亚特区、红海阿拉伯渔村区、威尼斯民俗区等八大特色主题，最大化还原当地最真实的海洋渔村文化场景，带你领略独特奇美的海滨风情。主题文化区与海底动物展示的巧妙穿插，将让游客在探索神秘莫测的海洋生物世界的同时，能亲身体验世界各地独具特色的海洋民俗文化。
惊奇极地馆包括极地世界和鲸豚秀场两大展区，尼罗河岸、加勒比、北极-爱斯基摩等不同的海洋文化元素与地域特征在这里交相辉映，您不仅可以在巨型落地玻璃缸前与白鲸、海豚近距离接触，感知它们的独特魅力。还可以在雪白迷人的冰雪世界探望北极狼、北极狐、企鹅等可爱的极地动物，在鲸豚秀场将欣赏白鲸、海豚大战海盗的精彩表演。这里是海洋动物的欢乐之家，开放式设计将让你与它们达成最亲密的互动接触，亲身感受海洋动物与人之间的和谐奥秘。
海兽秀场包括海豹湾和海象岛，是呆萌的海豹、慵懒的海象、顽皮的海狮的聚集地。海兽馆不仅拥有世界一流的海象、海狮驯化表演，还有海狮桑巴舞、海狮群体绝技组合展现和海象情景小品，都是国内外绝无仅有的海洋动物表演节目，精彩纷呈。
飞越丝路探秘影院拥有目前球形屏幕，融视觉、动感于一体，带你飞越千年，梦回丝路！游客乘坐动感座椅，双脚悬空，爬升、俯冲、滑翔、转弯、超重、失重，置身于大型球屏幕画面的包围中，或天际翱翔，或飞越峡谷、或穿行风雨、或俯冲大地，从古到今，从华夏到世界，一段穿越千年的飞行之旅，一场繁荣文明的神奇再现。全视觉画面、超强包围感、多重感官体验，将给您带来强烈的身临其境的惊险刺激体验。
欢乐海岸是海洋公园中的游乐园，包含多项主题游乐设施，如碰碰车、鲨鱼岛、飞舟冲浪、豪华转马、环形过山车等项目，各种项目惊险、刺激、欢快、尖叫、乐趣无穷，将使你得到淋漓尽致的游乐享受。","全年 10:30-17:30(停止售票16:30,最晚入园16:50)；自2021 年2月18日开始，华夏文旅海洋公园开园时间:10:30； 闭园时间:17:30;    停止售票时间：16:30;   停止检票时间：16:50。","儿童：每位成年人可免费携带1名1.2米（含）以下儿童入园，超出儿童按60元/人收费。，免费；身高1.2（不含）—1.4（含），半价
学生：全日制在校大学生凭本人真实有效学生证件，半价
老人：老人 65周岁（含）以上老人凭借本人身份证、老年证等有效证件，半价110元，半价
军人：现役军人、军残凭借有效证件，半价
残疾人：凭借有效证件，半价",乘坐浐灞1号线到华夏文旅站下,4.2,783条点评,,132
陕西美术博物馆,,西安市碑林区长安北路14号,http://www.sxpam.org/,"029-85263718,029-85269841,029-85268292",,,陕西美术博物馆位于碑林区长安北路，紧邻陕西图书馆和陕西体育场，建成于2004年，是目前西部地区规模较大的一座美术博物馆。,周二-周日9:00-17:00，疫情期间9:00-16:00，15:30停止入馆；周一闭馆（法定节假日和特殊情况除外）。,乘坐26路到省体育场站下,,4.7,56条点评,,133
重阳宫,,西安市鄠邑区祖庵镇终南山北麓，105县道旁,http://www.xiancyg.org/,029-84906200,,,,全年 周一至周五 8:30-17:00 周六至周日 8:00-17:00,"补充说明：1、优惠政策：1.2米儿童享受半价优惠、学生持学生证优惠。2、以上信息仅供参考,具体信息请以景区当天披露为准。",乘坐鄠邑901路到重阳宫站下,4.1,80条点评,王重阳，幼名中孚，字允卿，陕西咸阳大魏村人。北宋政和三年（公元1113年）生。金天眷年，捐文场，中武举。因不满金人统治，乃出家修道取名哲，字明，道号重阳子。他精研道家奥理，揉和儒、释、道三家之理论，开创全真教。结庵讲道，收徒马丹阳、谭处端、刘处玄、丘处机、王处一、郝大通和孙不二等人，人称“全真七子”。,134
陕西美术馆,,西安市新城区东大街587号,http://www.sxart.com.cn/,"029-87217870,029-87287716,029-87270108",,,陕西美术馆原名陕西美术家画廊，位于钟楼外东大街，为全国十大美术馆之一。美术馆共有七层，其中地上六层，地下一层，设有5个大展厅，4个小展厅和1个会议厅。,景区因疫情暂时停业，详情请以景区公示为准；原开放时间：周二-周日9:30-17:00；周一闭馆，无展览时不对外开放。,乘坐606路到端履门站下,,4.6,55条点评,,135
汉长安城遗址,,西安市未央区,,,,,,全天开放,乘坐234路到卢家口村站下,,,,,136
世界八大奇迹馆,,西安市临潼区秦岭北路168号,http://www.sjbdqj.com/,029-83887339,,30,,8:30-17:30,"补充说明：1、网络统一售票，暂无优惠。2、以上信息仅供参考,具体信息请以景区当天披露为准。",乘坐地铁9号线到银桥大道站下,3.7,84条点评,,137
骡马市步行街,,东大街(近民生百货),,,,,,全年 全天开放,乘坐37路到端履门站下,,4.6,77条点评,,138
华严寺,,西安市长安区韦曲街道东南少陵原半坡上,,,,,华严寺是唐代长安城南樊川八大寺之一，位于现在西安市南十五公里的少陵原半坡，为唐代著名的樊川八大寺之一，是中国佛教华严宗的发源地。,全年 10:00-17:00,乘坐地铁4号线到神舟大道站下,,4.2,33条点评,,139
凌烟阁二十四功臣像,,西安市曲江新区芙蓉西路99号大唐芙蓉园内紫云楼南广场,,,,,,10:00-22:00。,乘坐606路到芙蓉东路芙蓉西路口站下,,3.8,28条点评,,140
清凉山森林公园,,西安市长安区上塔坡村凤栖塬，西部大道与东仪路交叉口东,,,,,清凉山森林公园位于西安市长安区上塔坡村凤栖塬，园内有清凉寺、半山亭、凤栖广场、佛缘广场、隋文帝雕塑、井勿幕纪念广场等景观。公园一山坡上有一处人工湖，在海拔约400米处，是目前西安市区内海拔较高的人工湖，名叫大兴湖。湖上的拱桥是按照赵州桥1∶1仿制的，采用做旧处理之后，更为这公园增添了古风神韵。,全年 6:30-21:30,乘坐260路到清凉山森林公园站下,,4.5,114条点评,,141
劳动公园,,西安市莲湖区团结东路,,,,,劳动公园位于西安市团结东路20号，属小型休闲园林公园。公园内绿化良好，种植了各种花卉和常绿树种。公园内有一个人工湖，还有设置有健身和游乐设施，是市民休闲、锻炼常去的地方。,乘坐4路到西稍门站下,,,4.2,79条点评,,142
玄奘三藏院,,西安市雁塔区雁塔南路北口大雁塔风景区大慈恩寺内,,,,,玄奘三藏院位于西安大雁塔后方，是一座仿唐建筑群，主要有光明堂、般若殿、大遍觉堂。每间殿堂中都有大量的浮雕，描绘了玄奘法师的经历。而金碧辉煌的三藏地宫内则供奉着玄奘法师的顶骨舍利，是大慈恩寺的镇寺之宝。,旺季（3月1日-11月底）8:00-18:30，淡季（12月1日-次年2月）8:00-18:00。,乘坐606路到大雁塔南广场站下,,4.6,36条点评,,143
秦二世胡亥墓,,西安市雁塔区曲江街道西曲村南缘台地上,,,,,秦二世胡亥墓，位于西安市雁塔区曲江乡西曲江村南半坡上，为省重点文物保护单位。墓为圆形，封土堆直径二十五米，高五米。墓北有石碑一座，高三米，宽九十八公分，厚二十八公分。碑面阴刻“秦二世皇帝陵”六个隶书大字，为乾隆四十一年陕西巡抚华沅所立。碑后阴刻《夜役说》，为生员周新命于嘉庆十年所书。,全年 9:00-17:00,补充说明：1、特惠政策： 1、1.2米（不含）以下儿童免票；70岁以上老人、现役军人（含武警）、残疾人（含残疾军人）凭有效证件免票入馆。 2、身高1.2米（含）—1.4米（不含）之间10元/人，老人65岁以上持身份证或者老年证购老人票10元/人,乘坐601路到曲江池南路新开门南路口站下,4.1,61条点评,,144
考古探索中心,,西安市新城区自强东路585号大明宫国家遗址公园内，御道广场西侧,,,,,考古探索中心位于大明宫国家遗址公园御道广场西侧，由药厂仓库改建而来，在尽可能保持原有风貌的同时，对其内部进行了功能替换。中心展陈面积约为3500平方米，通过目前全球领先的2D和3D媒体展陈技术，游客可以亲身体验文物修复的乐趣。,具体开放时间请咨询景区,乘坐地铁2号线到安远门站下,,3.9,17条点评,,145
唐诗峡,,西安市曲江新区芙蓉西路99号大唐芙蓉园内,,,,,,具体开放时间请咨询景区,乘坐游8/610路到曲江海洋世界站下,,4.3,26条点评,,146
关中书院,,西安市碑林区书院门文化街上,,,,,位于西安市区书院门步行街上的关中书院，书院建筑规模庞大，中间有讲堂6间，称为“允执堂”，此外还有南屋、号房等建筑十多间，在讲堂后面，还有假山。书院有两重门，书院的提名是,全年 全天开放,乘坐600路到南门里站下,,4.3,43条点评,,147
昆明池·七夕公园,,西安市长安区沣东新城斗门新型工业园区汇新路北段,,,,40,昆明池·七夕公园位于“诗经故乡”的沣河畔。诗经里，是沣滨水镇的核心。踏入诗经里园内，错落有致的建筑，掩映在竹林松树间，池水流淌在树木花草间，所到每一处的建筑都将这流传千年的诗经文化的呈现，国风广场、关雎广场等，光听这些名字就已与《诗经》融合的恰到好处。,全天开放,补充说明：1、【免费说明】开放性景区免收大门票,乘坐833路到昆明池站下,4.5,61条点评,,148
嘉午台,,西安市长安区引镇小峪和大峪之间,,,,,"嘉午台位于西安城东南30余公里处长安县引镇小峪、大峪之间。是喜马拉雅运动期间形成的花岗岩构成的断块山。这里峰峦叠嶂，山体险峻，人称""小华山""。嘉午台由五座山峰组成，高处山峰戴顶海拔1870米，在悬崖峭壁上是一条人工凿出的40米长的石阶，石阶旁悬有明万历十一年铸造的铁索，人们须攀索拾级而上，有腾云驾雾之感。",全年 8:00-18:00,乘坐739路到大峪(安上村)站下,,4.1,30条点评,,149
丝绸之路群雕,,大庆路绿色林带西端(近开远门),,,,,丝绸之路群雕位于西安市莲湖区大庆路，是西安市为纪念1987年丝绸之路2100周年而建，从1984年开始，历时三年乃成，如今已成为古都西安的标志性雕塑。群雕所在的位置曾是唐代长安城著名的西门——开远门，丝绸之路真正意义上的起点，是长安旅人、西域客商们西出阳关的必经之路。,全年 全天开放,乘坐地铁1号线到汉城路站下,,4.5,62条点评,,150
樱花广场,,西安市长安区郭杜十字向东1000米,,,,,樱花广场位于西安市樱花一路与文苑北路交叉口，广场虽然不大，却因为种满了樱花而受到西安市民的喜爱。偶尔会有人在树下弹吉他，早晚都有人在锻炼身体。春天樱花盛开的时候，煞是迷人。走在小道上，两边尽是绽放的樱花树，充满了浪漫的气息。,全年 全天开放,乘坐733路到樱花广场站下,,4.3,130条点评,,151
大唐通易坊,,西安市雁塔区雁塔西路与翠华路交汇处,,,,,大唐通易坊位于雁塔西路与翠华路交汇处，大雁塔景区西侧，是一条集餐饮、休闲、娱乐、商贸为一体的仿古街道。整条街长300多米，两边都是仿唐式文化庭院，斗拱飞檐、雕梁画栋、设计精美、古朴典雅。房檐上挂着大红的灯笼，散发着古韵，而进入店内却又极具现代化气息。,全年 全天开放,乘坐26路到翠华路雁塔西路口站下,,4.4,48条点评,,152
汉城湖大风阁博物馆,,西安市未央区北二环与朱宏路立交西北角,,,,,,全年 9:00-17:30,"补充说明：1、免票政策：持老年证、军官证、残疾证及1.2米以下儿童免大风阁博物馆门票（汉服体验不含内）。2、以上信息仅供参考,具体信息请以景区当天披露为准。",乘坐26路到朱宏路龙首北路口站下,4.5,59条点评,进入景区需佩戴口罩。,153
乐游原,,西安市雁塔区青龙路（北门）,,,,,乐游原位于西安市雁塔区青龙路，闻名的青龙寺就在这里。另外还建有空海纪念碑、纪念堂，园内广植樱花，是西安市民踏青的好去处。乐游原源于汉朝，汉宣帝时这里被称为乐游苑，他很喜欢这里，还在此修建了乐游庙，乐游原就以庙得名。唐时太平公主曾在此营造了当时较大的私宅园林——太平公主庄园。唐代大诗人李商隐的诗“向晚意不适，驱车登古原。夕阳无限好，只是近黄昏。”描写的就是这里的景色。,全年（樱花节期间） 08:30-17:30；全年 06:00-21:00,乘坐31路到青龙路东口站下,每年3月中旬-4月中旬是樱花盛开的时节，此时也是游人较多的时候，特别是周末，建议错峰出行。,4.3,38条点评,,154
非物质文化遗产博物馆,,西安市碑林区文艺北路197号群众艺术馆7楼、8楼,,,,,非物质文化遗产博物馆位于西安市环城南路与文艺北路交叉口处的西安群众艺术馆内，是在西安市非遗工作陈列室基础上逐步发展起来的。博物馆虽然不大，却展出了丰富的展品。馆内汇集了西安市1000多个民间艺人和传承人提供的20000多件作品、工具，包括半成品、原材料以及图文资料等。,全年 周二至周日 10:00-16:00,乘坐222路到文昌门站下,,4.5,32条点评,,155
儿童公园,,西安市莲湖区西举院巷1号,,,,,西安儿童公园位于西安市莲湖区西举院巷，已有80多年的历史。这个公园承载着几代人的童年欢乐与笑声，2011年公园改造后面貌一新。一进南门，就能看到地面那大大的米奇头像，迎接着小朋友的到来。而门口那两个高高耸立的长颈鹿更是增添了无限童趣。,春夏6:30-23:00，秋冬7:30-21:30,乘坐215路到西门里(儿童医院)站下,,4.2,26条点评,,156
杜公祠,,西安市长安县韦曲街道双竹村樊川路,,,,,杜公祠是个四合院式的建筑群，山门是仿唐代的砖木结构，祠院内有三间享殿，殿内供有杜甫泥塑坐像一尊。,1月1日-12月31日 周二至周日 09:00-17:00(最晚入园17:00) 周一 不开放；每周一闭馆（节假日除外）,乘坐735路到杨虎城陵园站下,,4.4,17条点评,,157
金龙峡,4A,西安市鄠邑区秦岭北麓将军山西侧,http://www.jinlongxia.cn/,"029-84880698,029-84973376",,55,"金龙峡被誉为“中国北方第一峡”，碧山银瀑，奇峰怪列，宛如一条穿云吐雾的巨龙在秦岭怀抱中腾空飞翔。原始植被保存完整，九瀑十八潭星罗棋布，万亩天然槐林氧吧深藏其间。以“瀑布群落、林海氧吧、大峡风光、九峰叠翠、原始人文”五绝称著于世，实为休闲、养生、旅游、体验的“中国第一原始大峡谷”。是一个以自然生态风光为主兼有人文历史特色的“新、奇、特、优、全”景区。所谓“新”，指整个景区近百个景点自然、原始、生态，没有一处植被被破坏，没有一丝工业污染，被游客称为“山水新乐园”、“氧吧心舒园”、“探险新趣园”。所谓“奇”，指风光奇特。被誉为自然天气预报的一线天瀑布，古栈道、打银子、石船子，，万亩槐林氧吧以及金龙大峡谷等景点都是十分著名的。所谓“特”，就是其景与终南山其他地段风光完全不同。其他景区的水只能远观，而金龙峡的水，既可远观瀑布之壮美，又有近距离亲水之乐趣。其他景区的山，只有险峻，游人不能亲往，而金龙峡的山既有险峻，而且可以临近观赏感受。            
从此往上千米，有“不知始于何代”的弯弯曲曲的悬空古栈道遗迹。在这千米古栈道的花岗岩壁上，有一个长方形的凹槽。这里产生并流传着一个美丽动人的故事——“打银子”。当你从热闹喧嚣的都市走出，走到碧波荡漾的天然金龙潭，你就会有一种独特的精神享受；看万余平米水里，甲鱼们安然休闲 ，享自然山水，品金龙美味，听天籁之音。            
一座座石峡，如一尊巨佛东望蓬莱仙岛；一片片石林，如玉笋擎天；细细观赏，有如芙蓉相辉映，更如玉女本瑶台。在这里，我们即可以看到南边的“冰岩飞瀑”，也可以看到两边苍翠的山峰，特别是在水里边可以看到“两边山峰相对出，一艘游船载客来”的壮丽画面。每当圆月升起的时侯，我们可以欣赏到“月照金龙峡，耳畔天籁者”的美景。白天我们看到的秦岭是“万马奔腾”、“金龙飞翔”，而到了这时，我们便可以观赏到秦岭的雄伟和神秘。",全年 08:00-18:00,"儿童：身高1.2米（不含）及以下，免费
学生：学生全日制在读；儿童1.2米-1.5米，半价
老人：65周岁（含）以下凭老年证或身份证，免费
残疾人：凭残疾证，免费
军人：凭军官证，免费
补充说明：以上信息仅供参考，具体以景区现场当天披露为准。",停车场：【金龙峡停车场】参考价格：免费；地址：陕西省西安市户县蔡家坡；库位：200,4.2,266条点评,乘坐环山旅游1号线到金龙峡站下,158
明圣宫,,西安市临潼区华清路（昭阳门）骊山森林公园西绣岭老母殿南侧,,,,,明圣宫位于骊山西绣岭老母殿南侧，1992年由台湾道教徒、著名爱国人士颜武雄等人为报答映登仙祖保佑之恩而捐资修建。明圣宫由三清殿、仙祖殿、灵观殿等300余间殿堂房屋构成，规模宏大、殿宇辉煌、飞檐斗拱、巧夺天工、雕梁画栋，庄严肃穆、香烟缭绕。,8:00-18:00,乘坐地铁9号线到华清池站下,,4.6,19条点评,,159
护城河,,陕西省西安市护城河,,,,,西安护城河，有600多年的历史，建于明洪武七年到十一年(1374-1378)护城河亦称护城壕，是城墙外围环城一周的人工防护河，为阻止军事进攻、固守城防的重要城墙防御工事。西安城有一周水深壕宽的护城河，其护城河工程在历史上经历了两个发展时期。,具体开放时间请咨询景区,乘坐603路到火车站下,,4.5,76条点评,,160
西北工业大学,,西安市碑林区友谊西路127号（友谊校区）,http://www.nwpu.edu.cn/,"029-88494110,029-88430110",,,西北工业大学位于古都西安，由原西北工学院、西安航空学院和中国人民解放军军事工程学院空军工程系合并组成，属国家工信部管理。西工大以航空、航天、航海工程为特色，是国家“985工程”、“211工程”重点建设高校，与哈工大一样是全国著名的理工类大学。,全年 全天开放；具体以当日实际情况为准,乘坐地铁5号线到西北工业大学站下,,4.6,64条点评,,161
西安音乐学院,,西安市雁塔区长安中路108号,http://www.xacom.edu.cn/,029-88667100,,,西安音乐学院位于西安市雁塔区长安中路，与陕西美术博物馆、陕西省图书馆、陕西省体育场仅隔了二环南路。西安音乐学院已有60多年的建校历史，其前身是1948年创建的“西北艺术学校音乐部”，是全国9所独立设置的音乐专业院校之一。,原开放时间为全天开放，现因疫情封闭，暂时不对外开放。,乘坐26路到南二环长安立交南站下,,4.6,67条点评,,162
长安区博物馆,,西安市长安区西长安街559号，西北政法大学长安校区对面,,,,,长安区博物馆位于西北政法大学长安校区对面，占地10亩，主体建筑风格独特，融合古今。博物馆共三层，一层为办公区；二、三层为陈列厅。,全年 8:30-18:30,乘坐600路到西长安街府东二路口站下,,4.3,51条点评,,163
陕西钱币博物馆,,西安市雁塔区高新路与科技路十字向东100米,,,,,陕西钱币博物馆位于西安市雁塔区科技路，是中国人民银行西安分行所属的钱币专业博物馆。博物馆展厅位于地下一层，面积890平方米。从先秦的贝币开始到今天的人民币，按照历史朝代顺序，集中陈列了历代钱币实物2600多枚。,每周二、周三14:30-17:00，其余时间不开放。,乘坐地铁3号线到科技路站下,,4.6,49条点评,,164
灞桥生态湿地公园,,西安市灞桥区东城大道,,,,,灞桥生态湿地公园位于西安市灞桥区灞河城市段中游，北起东城大道华清桥，南至蓝田县界，毗邻西安世博园。公园保持了灞河的湿地、灌草、林木等自然特性，勾画出原生态湿地的景观效果。,全年 全天开放,乘坐171路到安村站下,,4.5,54条点评,,165
永阳公园,,西安市雁塔区锦业路（南门）,,,,,永阳公园位于西安市雁塔区丈八东路，近都市之门，西安奥林匹克公园斜对面，是一个别开生面的科技公园。公园整体面积不大，却十分的干净整洁。由于没有安装任何游乐设施，到让公园显得格外安静。,全年 全天开放,乘坐地铁6号线到省体育馆站下,,4.5,99条点评,,166
大华·1935,,西安市新城区太华南路251号,,,,,大华1935小剧场集群位于园区东侧，由原长安大华纺织厂新布场厂房改造而成，总建筑面积约为3300平方米，引进剧目、脱口秀、合家欢剧、先锋戏剧甚至二次元演出、演艺直播都会作为重要的内容组成，以艺术体验为核心。集演出、孵化、互动、策展、 戏剧培训及主题餐饮于一体，既是面向艺术创作的展演中心，同时也是面向消费者的文化休闲中心。在三小时的看戏时间之外，还将面向不同的人群开展更丰富的文化活动。,全年 全天开放,乘坐16路到大华1935站下,,4.6,63条点评,,167
丹凤门遗址博物馆,,西安市新城区自强东路585号大明宫国家遗址公园南侧,,,,,丹凤门遗址博物馆位于大明宫国家遗址公园南侧，里面保存了大唐时期的丹凤门门阙墩台遗址。另外还有当时的建筑材料如长方砖、方砖、板瓦、筒瓦、瓦当、鸱尾、铁钉、石夯锤等，及碗、罐、器盖、盅、枕、瓮、钳锅等日用器物。,9:30-18:00（17:00停止售票）,乘坐地铁4号线到含元殿站下,,,,,168
碑林书画一条街,,西安市碑林区,,,,,碑林书画一条街是很有艺术气息的一条街，书卷气息浓重，很有文化氛围和历史古韵。它就在碑林博物馆围墙外，有很多出售古玩字画的店铺和摊床，主要是卖文房四宝，书画作品、文玩工艺品等。,全年 全天开放,乘坐游7路到省政务大厅站下,,4.7,74条点评,,169
辋川溶洞,,西安市蓝田县辋川镇锡水村北,,,,,"辋川溶洞位于西安蓝田县辋川境内，距西安市40公里，风景优美。唐代大诗人、画家王维曾长期隐居于辋川，他精心营造的“辋川别墅”和“辋川二十景”，在我国古代园林艺术上独树一帜。所赋辋川山水之佳句，后汇集乘《辋川集》，享誉海内外。
辋川溶洞景区集山水风光，天然洞景，休闲度假为一体。游览区分凌云、锡水两洞，洞中钟乳石倒悬、笋石林立，形态万千。凌云洞位于照壁峰腰，洞深527米，分上下两层，十个洞庭，然乳石形成栩栩如生的“晚霞驼铃”、“仙女沐浴”惟妙惟肖。锡水洞与凌云洞遥遥相对，洞深270米，洞内四十多尊彩绘泥塑，集中展现了浓厚的道教文化，相传八仙之一的韩湘子曾在此得道羽化，故被奉为道家第五十五福地。千百年来，每逢农历二月初五至初七，方圆几百里的香客就会云集于此，举行盛大的宗教活动。",4月1日-10月31日9:00-16:30，11月1日-次年3月31日9:00-16:00。,补充说明：1、以上信息仅供参考，具体信息请以辋川溶洞景区当天披露为准。2、免票政策：身高1.2米以下儿童免票。3、优惠政策：身高1.2-1.4米之间儿童购票14元，65岁以上老年人持证购票14元。,,4.2,40条点评,,170
秦砖汉瓦博物馆,,西安市曲江新区雁翔路一号雅森上林苑,,,,,西安秦砖汉瓦博物馆馆藏西周至明清各个时期的瓦当及古砖2600个版别3000余块，是目前馆藏瓦当数量和品类较多的“秦砖汉瓦”专题博物馆。馆内展品陈列区共分为七大展区，包括瓦当的使用及功能展区、瓦当发展史展区、瓦当分类展区、古砖展示区、佛像瓦当展区、瓦当王展区以及汉宣帝杜陵遗址保护展示区。博物馆展出的各种纹饰的瓦当，各成系列、古朴典雅、形态生动、美观和谐，体现出汉民族的审美情趣和瓦当艺术的隽永魅力。这些精美的瓦当争奇斗艳，五彩缤纷，为我们展示了一个琳琅满目，美不胜收的艺术世界，也记录了中华建筑文化绚丽的一页。,全年 9:00-17:00,补充说明：1、优惠政策：60岁以上老人持身份证或老年证购老人票30元。2、免费政策：儿童1.3米以下免票；70岁以上老人、残疾人、媒体记者、现役军人，凭证免票。3、以上信息仅供参考，具体信息请以秦砖汉瓦景区当天披露为准。,乘坐736路到杜陵西路公交调度站下,4.3,34条点评,,171
